,Lines
3664,"'Is--is that a likeness, ma'am?' said Oliver."
3666,"'Yes,' said the old lady, looking up for a moment from the broth;"
3667,'that's a portrait.'
3669,"'Whose, ma'am?' asked Oliver."
3671,"'Why, really, my dear, I don't know,' answered the old lady in a"
3672,good-humoured manner.  'It's not a likeness of anybody that you or I
3673,"know, I expect.  It seems to strike your fancy, dear.'"
3675,"'It is so pretty,' replied Oliver."
3677,"'Why, sure you're not afraid of it?' said the old lady: observing in"
3678,"great surprise, the look of awe with which the child regarded the"
3679,painting.
3681,"'Oh no, no,' returned Oliver quickly; 'but the eyes look so sorrowful;"
3682,"and where I sit, they seem fixed upon me.  It makes my heart beat,'"
3683,"added Oliver in a low voice, 'as if it was alive, and wanted to speak"
3684,"to me, but couldn't.'"
3686,"'Lord save us!' exclaimed the old lady, starting; 'don't talk in that"
3687,"way, child.  You're weak and nervous after your illness. Let me wheel"
3688,your chair round to the other side; and then you won't see it.  There!'
3689,"said the old lady, suiting the action to the word; 'you don't see it"
3690,"now, at all events.'"
3692,Oliver _did_ see it in his mind's eye as distinctly as if he had not
3693,altered his position; but he thought it better not to worry the kind
3694,"old lady; so he smiled gently when she looked at him; and Mrs. Bedwin,"
3695,"satisfied that he felt more comfortable, salted and broke bits of"
3696,"toasted bread into the broth, with all the bustle befitting so solemn a"
3697,preparation. Oliver got through it with extraordinary expedition.  He
3698,"had scarcely swallowed the last spoonful, when there came a soft rap at"
3699,"the door.  'Come in,' said the old lady; and in walked Mr. Brownlow."
3701,"Now, the old gentleman came in as brisk as need be; but, he had no"
3702,"sooner raised his spectacles on his forehead, and thrust his hands"
3703,behind the skirts of his dressing-gown to take a good long look at
3704,"Oliver, than his countenance underwent a very great variety of odd"
3705,"contortions.  Oliver looked very worn and shadowy from sickness, and"
3706,"made an ineffectual attempt to stand up, out of respect to his"
3707,"benefactor, which terminated in his sinking back into the chair again;"
3708,"and the fact is, if the truth must be told, that Mr. Brownlow's heart,"
3709,being large enough for any six ordinary old gentlemen of humane
3710,"disposition, forced a supply of tears into his eyes, by some hydraulic"
3711,process which we are not sufficiently philosophical to be in a
3712,condition to explain.
3714,"'Poor boy, poor boy!' said Mr. Brownlow, clearing his throat. 'I'm"
3715,"rather hoarse this morning, Mrs. Bedwin.  I'm afraid I have caught"
3716,cold.'
3718,"'I hope not, sir,' said Mrs. Bedwin.  'Everything you have had, has"
3719,"been well aired, sir.'"
3721,"'I don't know, Bedwin.  I don't know,' said Mr. Brownlow; 'I rather"
3722,think I had a damp napkin at dinner-time yesterday; but never mind
3723,"that.  How do you feel, my dear?'"
3725,"'Very happy, sir,' replied Oliver.  'And very grateful indeed, sir, for"
3726,your goodness to me.'
3728,"'Good by,' said Mr. Brownlow, stoutly.  'Have you given him any"
3729,"nourishment, Bedwin?  Any slops, eh?'"
3731,"'He has just had a basin of beautiful strong broth, sir,' replied Mrs."
3732,"Bedwin:  drawing herself up slightly, and laying strong emphasis on the"
3733,"last word:  to intimate that between slops, and broth will compounded,"
3734,there existed no affinity or connection whatsoever.
3736,"'Ugh!' said Mr. Brownlow, with a slight shudder; 'a couple of glasses"
3737,"of port wine would have done him a great deal more good. Wouldn't they,"
3738,"Tom White, eh?'"
3740,"'My name is Oliver, sir,' replied the little invalid:  with a look of"
3741,great astonishment.
3743,"'Oliver,' said Mr. Brownlow; 'Oliver what?  Oliver White, eh?'"
3745,"'No, sir, Twist, Oliver Twist.'"
3747,'Queer name!' said the old gentleman.  'What made you tell the
3748,magistrate your name was White?'
3750,"'I never told him so, sir,' returned Oliver in amazement."
3752,"This sounded so like a falsehood, that the old gentleman looked"
3753,somewhat sternly in Oliver's face.  It was impossible to doubt him;
3754,there was truth in every one of its thin and sharpened lineaments.
3756,"'Some mistake,' said Mr. Brownlow.  But, although his motive for"
3757,"looking steadily at Oliver no longer existed, the old idea of the"
3758,resemblance between his features and some familiar face came upon him
3759,"so strongly, that he could not withdraw his gaze."
3761,"'I hope you are not angry with me, sir?' said Oliver, raising his eyes"
3762,beseechingly.
3764,"'No, no,' replied the old gentleman.  'Why! what's this?  Bedwin, look"
3765,there!'
3767,"As he spoke, he pointed hastily to the picture over Oliver's head, and"
3768,"then to the boy's face.  There was its living copy. The eyes, the head,"
3769,"the mouth; every feature was the same. The expression was, for the"
3770,"instant, so precisely alike, that the minutest line seemed copied with"
3771,startling accuracy!
3773,"Oliver knew not the cause of this sudden exclamation; for, not being"
3774,"strong enough to bear the start it gave him, he fainted away.  A"
3775,"weakness on his part, which affords the narrative an opportunity of"
3776,"relieving the reader from suspense, in behalf of the two young pupils"
3777,of the Merry Old Gentleman; and of recording--
3779,"That when the Dodger, and his accomplished friend Master Bates, joined"
3780,"in the hue-and-cry which was raised at Oliver's heels, in consequence"
3781,of their executing an illegal conveyance of Mr. Brownlow's personal
3782,"property, as has been already described, they were actuated by a very"
3783,laudable and becoming regard for themselves; and forasmuch as the
3784,freedom of the subject and the liberty of the individual are among the
3785,"first and proudest boasts of a true-hearted Englishman, so, I need"
3786,"hardly beg the reader to observe, that this action should tend to exalt"
3787,"them in the opinion of all public and patriotic men, in almost as great"
3788,a degree as this strong proof of their anxiety for their own
3789,preservation and safety goes to corroborate and confirm the little code
3790,of laws which certain profound and sound-judging philosophers have laid
3791,down as the main-springs of all Nature's deeds and actions:  the said
3792,philosophers very wisely reducing the good lady's proceedings to
3793,"matters of maxim and theory:  and, by a very neat and pretty compliment"
3794,"to her exalted wisdom and understanding, putting entirely out of sight"
3795,"any considerations of heart, or generous impulse and feeling. For,"
3796,these are matters totally beneath a female who is acknowledged by
3797,universal admission to be far above the numerous little foibles and
3798,weaknesses of her sex.
3800,If I wanted any further proof of the strictly philosophical nature of
3801,the conduct of these young gentlemen in their very delicate
3802,"predicament, I should at once find it in the fact (also recorded in a"
3803,"foregoing part of this narrative), of their quitting the pursuit, when"
3804,the general attention was fixed upon Oliver; and making immediately for
3805,their home by the shortest possible cut.  Although I do not mean to
3806,"assert that it is usually the practice of renowned and learned sages,"
3807,to shorten the road to any great conclusion (their course indeed being
3808,"rather to lengthen the distance, by various circumlocutions and"
3809,"discursive staggerings, like unto those in which drunken men under the"
3810,"pressure of a too mighty flow of ideas, are prone to indulge); still, I"
3811,"do mean to say, and do say distinctly, that it is the invariable"
3812,"practice of many mighty philosophers, in carrying out their theories,"
3813,to evince great wisdom and foresight in providing against every
3814,possible contingency which can be supposed at all likely to affect
3815,"themselves.  Thus, to do a great right, you may do a little wrong; and"
3816,"you may take any means which the end to be attained, will justify; the"
3817,"amount of the right, or the amount of the wrong, or indeed the"
3818,"distinction between the two, being left entirely to the philosopher"
3819,"concerned, to be settled and determined by his clear, comprehensive,"
3820,and impartial view of his own particular case.
3822,"It was not until the two boys had scoured, with great rapidity, through"
3823,"a most intricate maze of narrow streets and courts, that they ventured"
3824,"to halt beneath a low and dark archway.  Having remained silent here,"
3825,"just long enough to recover breath to speak, Master Bates uttered an"
3826,"exclamation of amusement and delight; and, bursting into an"
3827,"uncontrollable fit of laughter, flung himself upon a doorstep, and"
3828,rolled thereon in a transport of mirth.
3830,'What's the matter?' inquired the Dodger.
3832,'Ha! ha! ha!' roared Charley Bates.
3834,"'Hold your noise,' remonstrated the Dodger, looking cautiously round."
3835,"'Do you want to be grabbed, stupid?'"
3837,"'I can't help it,' said Charley, 'I can't help it!  To see him"
3838,"splitting away at that pace, and cutting round the corners, and"
3839,"knocking up again' the posts, and starting on again as if he was made"
3840,"of iron as well as them, and me with the wipe in my pocket, singing out"
3841,"arter him--oh, my eye!' The vivid imagination of Master Bates presented"
3842,the scene before him in too strong colours.  As he arrived at this
3843,"apostrophe, he again rolled upon the door-step, and laughed louder than"
3844,before.
3846,'What'll Fagin say?' inquired the Dodger; taking advantage of the next
3847,interval of breathlessness on the part of his friend to propound the
3848,question.
3850,'What?' repeated Charley Bates.
3852,"'Ah, what?' said the Dodger."
3854,"'Why, what should he say?' inquired Charley:  stopping rather suddenly"
3855,in his merriment; for the Dodger's manner was impressive.  'What should
3856,he say?'
3858,"Mr. Dawkins whistled for a couple of minutes; then, taking off his hat,"
3859,"scratched his head, and nodded thrice."
3861,'What do you mean?' said Charley.
3863,"'Toor rul lol loo, gammon and spinnage, the frog he wouldn't, and high"
3864,"cockolorum,' said the Dodger:  with a slight sneer on his intellectual"
3865,countenance.
3867,"This was explanatory, but not satisfactory.  Master Bates felt it so;"
3868,"and again said, 'What do you mean?'"
3870,"The Dodger made no reply; but putting his hat on again, and gathering"
3871,"the skirts of his long-tailed coat under his arm, thrust his tongue"
3872,"into his cheek, slapped the bridge of his nose some half-dozen times in"
3873,"a familiar but expressive manner, and turning on his heel, slunk down"
3874,"the court.  Master Bates followed, with a thoughtful countenance."
3876,"The noise of footsteps on the creaking stairs, a few minutes after the"
3877,"occurrence of this conversation, roused the merry old gentleman as he"
3878,sat over the fire with a saveloy and a small loaf in his hand; a
3879,pocket-knife in his right; and a pewter pot on the trivet.  There was a
3880,"rascally smile on his white face as he turned round, and looking"
3881,"sharply out from under his thick red eyebrows, bent his ear towards the"
3882,"door, and listened."
3884,"'Why, how's this?' muttered the Jew:  changing countenance; 'only two"
3885,of 'em?  Where's the third?  They can't have got into trouble.  Hark!'
3887,The footsteps approached nearer; they reached the landing. The door was
3888,"slowly opened; and the Dodger and Charley Bates entered, closing it"
3889,behind them.
3899,"'Where's Oliver?' said the Jew, rising with a menacing look. 'Where's"
3900,the boy?'
3902,The young thieves eyed their preceptor as if they were alarmed at his
3903,violence; and looked uneasily at each other.  But they made no reply.
3905,"'What's become of the boy?' said the Jew, seizing the Dodger tightly by"
3906,"the collar, and threatening him with horrid imprecations.  'Speak out,"
3907,or I'll throttle you!'
3909,"Mr. Fagin looked so very much in earnest, that Charley Bates, who"
3910,"deemed it prudent in all cases to be on the safe side, and who"
3911,conceived it by no means improbable that it might be his turn to be
3912,"throttled second, dropped upon his knees, and raised a loud,"
3913,"well-sustained, and continuous roar--something between a mad bull and a"
3914,speaking trumpet.
3916,'Will you speak?' thundered the Jew:  shaking the Dodger so much that
3917,"his keeping in the big coat at all, seemed perfectly miraculous."
3919,"'Why, the traps have got him, and that's all about it,' said the"
3920,"Dodger, sullenly.  'Come, let go o' me, will you!'  And, swinging"
3921,"himself, at one jerk, clean out of the big coat, which he left in the"
3922,"Jew's hands, the Dodger snatched up the toasting fork, and made a pass"
3923,"at the merry old gentleman's waistcoat; which, if it had taken effect,"
3924,would have let a little more merriment out than could have been easily
3925,replaced.
3927,"The Jew stepped back in this emergency, with more agility than could"
3928,"have been anticipated in a man of his apparent decrepitude; and,"
3929,"seizing up the pot, prepared to hurl it at his assailant's head.  But"
3930,"Charley Bates, at this moment, calling his attention by a perfectly"
3931,"terrific howl, he suddenly altered its destination, and flung it full"
3932,at that young gentleman.
3934,"'Why, what the blazes is in the wind now!' growled a deep voice. 'Who"
3935,"pitched that 'ere at me?  It's well it's the beer, and not the pot, as"
3936,"hit me, or I'd have settled somebody.  I might have know'd, as nobody"
3937,"but an infernal, rich, plundering, thundering old Jew could afford to"
3938,"throw away any drink but water--and not that, unless he done the River"
3939,"Company every quarter.  Wot's it all about, Fagin?  D--me, if my"
3940,"neck-handkercher an't lined with beer!  Come in, you sneaking warmint;"
3941,"wot are you stopping outside for, as if you was ashamed of your master!"
3942,Come in!'
3944,"The man who growled out these words, was a stoutly-built fellow of"
3945,"about five-and-thirty, in a black velveteen coat, very soiled drab"
3946,"breeches, lace-up half boots, and grey cotton stockings which inclosed"
3947,"a bulky pair of legs, with large swelling calves;--the kind of legs,"
3948,"which in such costume, always look in an unfinished and incomplete"
3949,state without a set of fetters to garnish them.  He had a brown hat on
3950,"his head, and a dirty belcher handkerchief round his neck:  with the"
3951,long frayed ends of which he smeared the beer from his face as he
3952,"spoke.  He disclosed, when he had done so, a broad heavy countenance"
3953,"with a beard of three days' growth, and two scowling eyes; one of which"
3954,displayed various parti-coloured symptoms of having been recently
3955,damaged by a blow.
3957,"'Come in, d'ye hear?' growled this engaging ruffian."
3959,"A white shaggy dog, with his face scratched and torn in twenty"
3960,"different places, skulked into the room."
3962,'Why didn't you come in afore?' said the man.  'You're getting too
3963,"proud to own me afore company, are you?  Lie down!'"
3965,"This command was accompanied with a kick, which sent the animal to the"
3966,"other end of the room.  He appeared well used to it, however; for he"
3967,"coiled himself up in a corner very quietly, without uttering a sound,"
3968,"and winking his very ill-looking eyes twenty times in a minute,"
3969,appeared to occupy himself in taking a survey of the apartment.
3971,"'What are you up to?  Ill-treating the boys, you covetous, avaricious,"
3972,"in-sa-ti-a-ble old fence?' said the man, seating himself deliberately."
3973,'I wonder they don't murder you!  I would if I was them.  If I'd been
3974,"your 'prentice, I'd have done it long ago, and--no, I couldn't have"
3975,"sold you afterwards, for you're fit for nothing but keeping as a"
3976,"curiousity of ugliness in a glass bottle, and I suppose they don't blow"
3977,glass bottles large enough.'
3979,"'Hush! hush! Mr. Sikes,' said the Jew, trembling; 'don't speak so loud!'"
3981,"'None of your mistering,' replied the ruffian; 'you always mean"
3982,mischief when you come that.  You know my name:  out with it!  I shan't
3983,disgrace it when the time comes.'
3985,"'Well, well, then--Bill Sikes,' said the Jew, with abject humility."
3986,"'You seem out of humour, Bill.'"
3988,"'Perhaps I am,' replied Sikes; 'I should think you was rather out of"
3989,"sorts too, unless you mean as little harm when you throw pewter pots"
3990,"about, as you do when you blab and--'"
3992,"'Are you mad?' said the Jew, catching the man by the sleeve, and"
3993,pointing towards the boys.
3995,Mr. Sikes contented himself with tying an imaginary knot under his left
3996,"ear, and jerking his head over on the right shoulder; a piece of dumb"
3997,"show which the Jew appeared to understand perfectly.  He then, in cant"
3998,"terms, with which his whole conversation was plentifully besprinkled,"
3999,"but which would be quite unintelligible if they were recorded here,"
4000,demanded a glass of liquor.
4002,"'And mind you don't poison it,' said Mr. Sikes, laying his hat upon the"
4003,table.
4005,This was said in jest; but if the speaker could have seen the evil leer
4006,"with which the Jew bit his pale lip as he turned round to the cupboard,"
4007,"he might have thought the caution not wholly unnecessary, or the wish"
4008,(at all events) to improve upon the distiller's ingenuity not very far
4009,from the old gentleman's merry heart.
4011,"After swallowing two of three glasses of spirits, Mr. Sikes"
4012,condescended to take some notice of the young gentlemen; which gracious
4013,"act led to a conversation, in which the cause and manner of Oliver's"
4014,"capture were circumstantially detailed, with such alterations and"
4015,"improvements on the truth, as to the Dodger appeared most advisable"
4016,under the circumstances.
4018,"'I'm afraid,' said the Jew, 'that he may say something which will get"
4019,us into trouble.'
4021,"'That's very likely,' returned Sikes with a malicious grin. 'You're"
4022,"blowed upon, Fagin.'"
4024,"'And I'm afraid, you see,' added the Jew, speaking as if he had not"
4025,noticed the interruption; and regarding the other closely as he did
4026,"so,--'I'm afraid that, if the game was up with us, it might be up with"
4027,"a good many more, and that it would come out rather worse for you than"
4028,"it would for me, my dear.'"
4030,"The man started, and turned round upon the Jew.  But the old"
4031,gentleman's shoulders were shrugged up to his ears; and his eyes were
4032,vacantly staring on the opposite wall.
4034,There was a long pause. Every member of the respectable coterie
4035,"appeared plunged in his own reflections; not excepting the dog, who by"
4036,a certain malicious licking of his lips seemed to be meditating an
4037,attack upon the legs of the first gentleman or lady he might encounter
4038,in the streets when he went out.
4040,"'Somebody must find out wot's been done at the office,' said Mr. Sikes"
4041,in a much lower tone than he had taken since he came in.
4043,The Jew nodded assent.
4045,"'If he hasn't peached, and is committed, there's no fear till he comes"
4046,"out again,' said Mr. Sikes, 'and then he must be taken care on.  You"
4047,must get hold of him somehow.'
4049,Again the Jew nodded.
4051,"The prudence of this line of action, indeed, was obvious; but,"
4052,"unfortunately, there was one very strong objection to its being"
4053,"adopted.  This was, that the Dodger, and Charley Bates, and Fagin, and"
4054,"Mr. William Sikes, happened, one and all, to entertain a violent and"
4055,deeply-rooted antipathy to going near a police-office on any ground or
4056,pretext whatever.
4058,"How long they might have sat and looked at each other, in a state of"
4059,"uncertainty not the most pleasant of its kind, it is difficult to"
4060,"guess.  It is not necessary to make any guesses on the subject,"
4061,however; for the sudden entrance of the two young ladies whom Oliver
4062,"had seen on a former occasion, caused the conversation to flow afresh."
4064,"'The very thing!' said the Jew.  'Bet will go; won't you, my dear?'"
4066,'Wheres?' inquired the young lady.
4068,"'Only just up to the office, my dear,' said the Jew coaxingly."
4070,It is due to the young lady to say that she did not positively affirm
4071,"that she would not, but that she merely expressed an emphatic and"
4072,earnest desire to be 'blessed' if she would; a polite and delicate
4073,"evasion of the request, which shows the young lady to have been"
4074,possessed of that natural good breeding which cannot bear to inflict
4075,"upon a fellow-creature, the pain of a direct and pointed refusal."
4077,"The Jew's countenance fell.  He turned from this young lady, who was"
4078,"gaily, not to say gorgeously attired, in a red gown, green boots, and"
4079,"yellow curl-papers, to the other female."
4081,"'Nancy, my dear,' said the Jew in a soothing manner, 'what do YOU say?'"
4083,"'That it won't do; so it's no use a-trying it on, Fagin,' replied Nancy."
4085,"'What do you mean by that?' said Mr. Sikes, looking up in a surly"
4086,manner.
4088,"'What I say, Bill,' replied the lady collectedly."
4090,"'Why, you're just the very person for it,' reasoned Mr. Sikes: 'nobody"
4091,about here knows anything of you.'
4093,"'And as I don't want 'em to, neither,' replied Nancy in the same"
4094,"composed manner, 'it's rather more no than yes with me, Bill.'"
4096,"'She'll go, Fagin,' said Sikes."
4098,"'No, she won't, Fagin,' said Nancy."
4100,"'Yes, she will, Fagin,' said Sikes."
4102,"And Mr. Sikes was right.  By dint of alternate threats, promises, and"
4103,"bribes, the lady in question was ultimately prevailed upon to undertake"
4104,"the commission.  She was not, indeed, withheld by the same"
4105,"considerations as her agreeable friend; for, having recently removed"
4106,into the neighborhood of Field Lane from the remote but genteel suburb
4107,"of Ratcliffe, she was not under the same apprehension of being"
4108,recognised by any of her numerous acquaintances.
4110,"Accordingly, with a clean white apron tied over her gown, and her"
4111,"curl-papers tucked up under a straw bonnet,--both articles of dress"
4112,"being provided from the Jew's inexhaustible stock,--Miss Nancy prepared"
4113,to issue forth on her errand.
4115,"'Stop a minute, my dear,' said the Jew, producing, a little covered"
4116,"basket.  'Carry that in one hand.  It looks more respectable, my dear.'"
4118,"'Give her a door-key to carry in her t'other one, Fagin,' said Sikes;"
4119,'it looks real and genivine like.'
4121,"'Yes, yes, my dear, so it does,' said the Jew, hanging a large"
4122,street-door key on the forefinger of the young lady's right hand.
4124,"'There; very good!  Very good indeed, my dear!' said the Jew, rubbing"
4125,his hands.
4127,"'Oh, my brother!  My poor, dear, sweet, innocent little brother!'"
4128,"exclaimed Nancy, bursting into tears, and wringing the little basket"
4129,and the street-door key in an agony of distress.  'What has become of
4130,"him!  Where have they taken him to!  Oh, do have pity, and tell me"
4131,"what's been done with the dear boy, gentlemen; do, gentlemen, if you"
4132,"please, gentlemen!'"
4134,Having uttered those words in a most lamentable and heart-broken tone:
4135,"to the immeasurable delight of her hearers:  Miss Nancy paused, winked"
4136,"to the company, nodded smilingly round, and disappeared."
4138,"'Ah, she's a clever girl, my dears,' said the Jew, turning round to his"
4139,"young friends, and shaking his head gravely, as if in mute admonition"
4140,to them to follow the bright example they had just beheld.
4142,"'She's a honour to her sex,' said Mr. Sikes, filling his glass, and"
4143,"smiting the table with his enormous fist.  'Here's her health, and"
4144,wishing they was all like her!'
4146,"While these, and many other encomiums, were being passed on the"
4147,"accomplished Nancy, that young lady made the best of her way to the"
4148,"police-office; whither, notwithstanding a little natural timidity"
4149,"consequent upon walking through the streets alone and unprotected, she"
4150,arrived in perfect safety shortly afterwards.
4152,"Entering by the back way, she tapped softly with the key at one of the"
4153,"cell-doors, and listened.  There was no sound within:  so she coughed"
4154,and listened again.  Still there was no reply:  so she spoke.
4156,"'Nolly, dear?' murmured Nancy in a gentle voice; 'Nolly?'"
4158,"There was nobody inside but a miserable shoeless criminal, who had been"
4159,"taken up for playing the flute, and who, the offence against society"
4160,"having been clearly proved, had been very properly committed by Mr."
4161,Fang to the House of Correction for one month; with the appropriate and
4162,"amusing remark that since he had so much breath to spare, it would be"
4163,more wholesomely expended on the treadmill than in a musical
4164,instrument.  He made no answer: being occupied mentally bewailing the
4165,"loss of the flute, which had been confiscated for the use of the"
4166,"county:  so Nancy passed on to the next cell, and knocked there."
4168,'Well!' cried a faint and feeble voice.
4170,"'Is there a little boy here?' inquired Nancy, with a preliminary sob."
4172,"'No,' replied the voice; 'God forbid.'"
4174,"This was a vagrant of sixty-five, who was going to prison for _not_"
4175,"playing the flute; or, in other words, for begging in the streets, and"
4176,"doing nothing for his livelihood.  In the next cell was another man,"
4177,who was going to the same prison for hawking tin saucepans without
4178,"license; thereby doing something for his living, in defiance of the"
4179,Stamp-office.
4181,"But, as neither of these criminals answered to the name of Oliver, or"
4182,"knew anything about him, Nancy made straight up to the bluff officer in"
4183,the striped waistcoat; and with the most piteous wailings and
4184,"lamentations, rendered more piteous by a prompt and efficient use of"
4185,"the street-door key and the little basket, demanded her own dear"
4186,brother.
4188,"'I haven't got him, my dear,' said the old man."
4190,"'Where is he?' screamed Nancy, in a distracted manner."
4192,"'Why, the gentleman's got him,' replied the officer."
4194,"'What gentleman!  Oh, gracious heavens!  What gentleman?' exclaimed"
4195,Nancy.
4197,"In reply to this incoherent questioning, the old man informed the"
4198,"deeply affected sister that Oliver had been taken ill in the office,"
4199,and discharged in consequence of a witness having proved the robbery to
4200,"have been committed by another boy, not in custody; and that the"
4201,"prosecutor had carried him away, in an insensible condition, to his own"
4202,"residence:  of and concerning which, all the informant knew was, that"
4203,"it was somewhere in Pentonville, he having heard that word mentioned in"
4204,the directions to the coachman.
4206,"In a dreadful state of doubt and uncertainty, the agonised young woman"
4207,"staggered to the gate, and then, exchanging her faltering walk for a"
4208,"swift run, returned by the most devious and complicated route she could"
4209,"think of, to the domicile of the Jew."
4211,"Mr. Bill Sikes no sooner heard the account of the expedition delivered,"
4212,"than he very hastily called up the white dog, and, putting on his hat,"
4213,expeditiously departed:  without devoting any time to the formality of
4214,wishing the company good-morning.
4216,"'We must know where he is, my dears; he must be found,' said the Jew"
4217,"greatly excited.  'Charley, do nothing but skulk about, till you bring"
4218,"home some news of him!  Nancy, my dear, I must have him found.  I trust"
4219,"to you, my dear,--to you and the Artful for everything!  Stay, stay,'"
4220,"added the Jew, unlocking a drawer with a shaking hand; 'there's money,"
4221,my dears.  I shall shut up this shop to-night.  You'll know where to
4222,"find me!  Don't stop here a minute.  Not an instant, my dears!'"
4224,"With these words, he pushed them from the room:  and carefully"
4225,"double-locking and barring the door behind them, drew from its place of"
4226,concealment the box which he had unintentionally disclosed to Oliver.
4227,"Then, he hastily proceeded to dispose the watches and jewellery beneath"
4228,his clothing.
4230,A rap at the door startled him in this occupation.  'Who's there?' he
4231,cried in a shrill tone.
4233,"'Me!' replied the voice of the Dodger, through the key-hole."
4235,'What now?' cried the Jew impatiently.
4237,"'Is he to be kidnapped to the other ken, Nancy says?' inquired the"
4238,Dodger.
4240,"'Yes,' replied the Jew, 'wherever she lays hands on him.  Find him,"
4241,"find him out, that's all.  I shall know what to do next; never fear.'"
4243,The boy murmured a reply of intelligence:  and hurried downstairs after
4244,his companions.
4246,"'He has not peached so far,' said the Jew as he pursued his occupation."
4247,"'If he means to blab us among his new friends, we may stop his mouth"
4248,yet.'
4258,Oliver soon recovering from the fainting-fit into which Mr. Brownlow's
4259,"abrupt exclamation had thrown him, the subject of the picture was"
4260,"carefully avoided, both by the old gentleman and Mrs. Bedwin, in the"
4261,conversation that ensued:  which indeed bore no reference to Oliver's
4262,"history or prospects, but was confined to such topics as might amuse"
4263,without exciting him.  He was still too weak to get up to breakfast;
4264,"but, when he came down into the housekeeper's room next day, his first"
4265,"act was to cast an eager glance at the wall, in the hope of again"
4266,looking on the face of the beautiful lady.  His expectations were
4267,"disappointed, however, for the picture had been removed."
4269,"'Ah!' said the housekeeper, watching the direction of Oliver's eyes."
4270,"'It is gone, you see.'"
4272,"'I see it is ma'am,' replied Oliver.  'Why have they taken it away?'"
4274,"'It has been taken down, child, because Mr. Brownlow said, that as it"
4275,"seemed to worry you, perhaps it might prevent your getting well, you"
4276,"know,' rejoined the old lady."
4278,"'Oh, no, indeed.  It didn't worry me, ma'am,' said Oliver. 'I liked to"
4279,see it.  I quite loved it.'
4281,"'Well, well!' said the old lady, good-humouredly; 'you get well as fast"
4282,"as ever you can, dear, and it shall be hung up again. There!  I promise"
4283,"you that!  Now, let us talk about something else.'"
4285,This was all the information Oliver could obtain about the picture at
4286,"that time.  As the old lady had been so kind to him in his illness, he"
4287,endeavoured to think no more of the subject just then; so he listened
4288,"attentively to a great many stories she told him, about an amiable and"
4289,"handsome daughter of hers, who was married to an amiable and handsome"
4290,"man, and lived in the country; and about a son, who was clerk to a"
4291,"merchant in the West Indies; and who was, also, such a good young man,"
4292,"and wrote such dutiful letters home four times a-year, that it brought"
4293,the tears into her eyes to talk about them.  When the old lady had
4294,"expatiated, a long time, on the excellences of her children, and the"
4295,"merits of her kind good husband besides, who had been dead and gone,"
4296,"poor dear soul! just six-and-twenty years, it was time to have tea."
4297,After tea she began to teach Oliver cribbage: which he learnt as
4298,"quickly as she could teach:  and at which game they played, with great"
4299,"interest and gravity, until it was time for the invalid to have some"
4300,"warm wine and water, with a slice of dry toast, and then to go cosily"
4301,to bed.
4303,"They were happy days, those of Oliver's recovery.  Everything was so"
4304,"quiet, and neat, and orderly; everybody so kind and gentle; that after"
4305,"the noise and turbulence in the midst of which he had always lived, it"
4306,seemed like Heaven itself.  He was no sooner strong enough to put his
4307,"clothes on, properly, than Mr. Brownlow caused a complete new suit, and"
4308,"a new cap, and a new pair of shoes, to be provided for him.  As Oliver"
4309,"was told that he might do what he liked with the old clothes, he gave"
4310,"them to a servant who had been very kind to him, and asked her to sell"
4311,"them to a Jew, and keep the money for herself.  This she very readily"
4312,"did; and, as Oliver looked out of the parlour window, and saw the Jew"
4313,"roll them up in his bag and walk away, he felt quite delighted to think"
4314,"that they were safely gone, and that there was now no possible danger"
4315,"of his ever being able to wear them again.  They were sad rags, to tell"
4316,the truth; and Oliver had never had a new suit before.
4318,"One evening, about a week after the affair of the picture, as he was"
4319,"sitting talking to Mrs. Bedwin, there came a message down from Mr."
4320,"Brownlow, that if Oliver Twist felt pretty well, he should like to see"
4321,"him in his study, and talk to him a little while."
4323,"'Bless us, and save us!  Wash your hands, and let me part your hair"
4324,"nicely for you, child,' said Mrs. Bedwin.  'Dear heart alive!  If we"
4325,"had known he would have asked for you, we would have put you a clean"
4326,"collar on, and made you as smart as sixpence!'"
4328,"Oliver did as the old lady bade him; and, although she lamented"
4329,"grievously, meanwhile, that there was not even time to crimp the little"
4330,frill that bordered his shirt-collar; he looked so delicate and
4331,"handsome, despite that important personal advantage, that she went so"
4332,far as to say:  looking at him with great complacency from head to
4333,"foot, that she really didn't think it would have been possible, on the"
4334,"longest notice, to have made much difference in him for the better."
4336,"Thus encouraged, Oliver tapped at the study door.  On Mr. Brownlow"
4337,"calling to him to come in, he found himself in a little back room,"
4338,"quite full of books, with a window, looking into some pleasant little"
4339,"gardens.  There was a table drawn up before the window, at which Mr."
4340,"Brownlow was seated reading.  When he saw Oliver, he pushed the book"
4341,"away from him, and told him to come near the table, and sit down."
4342,Oliver complied; marvelling where the people could be found to read
4343,such a great number of books as seemed to be written to make the world
4344,wiser.  Which is still a marvel to more experienced people than Oliver
4345,"Twist, every day of their lives."
4347,"'There are a good many books, are there not, my boy?' said Mr."
4348,"Brownlow, observing the curiosity with which Oliver surveyed the"
4349,shelves that reached from the floor to the ceiling.
4351,"'A great number, sir,' replied Oliver.  'I never saw so many.'"
4353,"'You shall read them, if you behave well,' said the old gentleman"
4354,"kindly; 'and you will like that, better than looking at the"
4355,"outsides,--that is, some cases; because there are books of which the"
4356,backs and covers are by far the best parts.'
